user_id	username	emails	registration_date	last_authorization_date	is_confirmed	birth_date	gender
1	anna_ivanov_1	anna_ivanov_1+1@example.com|anna_ivanov_1+2@example.com|anna_ivanov_1+3@example.com	2021-01-31	2022-06-16	True	1992-09-01	other
2	pavel_morozov_2	pavel_morozov_2+1@example.com	2023-01-14	2024-08-05	True	1986-02-07	other
3	maria_ivanov_3	maria_ivanov_3+1@example.com|maria_ivanov_3+2@example.com|maria_ivanov_3+3@example.com	2023-02-25	2023-11-07	True	2007-10-23	male
4	pavel_ivanov_4	pavel_ivanov_4+1@example.com|pavel_ivanov_4+2@example.com	2022-07-02	2024-01-01	False	1994-03-06	other
5	daria_morozov_5	daria_morozov_5+1@example.com|daria_morozov_5+2@example.com	2020-06-17	2022-01-04	False	2004-03-15	other
6	ivan_volkova_6	ivan_volkova_6+1@example.com|ivan_volkova_6+2@example.com	2018-03-21	2019-06-22	True	1987-11-25	other
7	nikita_sokolova_7	nikita_sokolova_7+1@example.com|nikita_sokolova_7+2@example.com|nikita_sokolova_7+3@example.com	2023-01-24	2023-09-28	False	1980-09-04	female
8	pavel_sidorov_8	pavel_sidorov_8+1@example.com|pavel_sidorov_8+2@example.com|pavel_sidorov_8+3@example.com	2024-05-27	2026-01-07	False	1974-05-24	other
9	ivan_petrova_9	ivan_petrova_9+1@example.com	2019-11-13	2024-06-03	False	1977-01-23	other
10	anna_sidorov_10	anna_sidorov_10+1@example.com	2024-09-03	2024-11-11	False	1987-10-03	other
11	maria_sokolova_11	maria_sokolova_11+1@example.com|maria_sokolova_11+2@example.com	2018-10-25	2018-12-02	True	1979-06-13	male
12	maria_sokolova_12	maria_sokolova_12+1@example.com|maria_sokolova_12+2@example.com	2018-07-28	2019-08-10	True	1981-03-12	female
13	alexey_morozov_13	alexey_morozov_13+1@example.com|alexey_morozov_13+2@example.com|alexey_morozov_13+3@example.com	2019-09-26	2022-05-22	False	1980-01-01	male
14	daria_volkova_14	daria_volkova_14+1@example.com|daria_volkova_14+2@example.com	2018-10-12	2021-11-28	True	2006-03-06	other
15	pavel_volkova_15	pavel_volkova_15+1@example.com|pavel_volkova_15+2@example.com	2018-10-14	2022-06-27	True	1997-03-19	female
16	sergey_sokolova_16	sergey_sokolova_16+1@example.com|sergey_sokolova_16+2@example.com|sergey_sokolova_16+3@example.com	2020-05-25	2025-09-14	True	1997-06-03	male
